
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      7,052 K
Registry                        96 Services                   0     59,740 K
smss.exe                       424 Services                   0        484 K
csrss.exe                      668 Services                   0      2,124 K
wininit.exe                    752 Services                   0      2,156 K
services.exe                   800 Services                   0      7,184 K
lsass.exe                      848 Services                   0     16,204 K
svchost.exe                    956 Services                   0      1,092 K
WUDFHost.exe                   964 Services                   0      5,224 K
fontdrvhost.exe               1008 Services                   0        716 K
svchost.exe                    564 Services                   0     39,240 K
svchost.exe                    660 Services                   0     14,536 K
svchost.exe                    896 Services                   0      5,840 K
svchost.exe                   1264 Services                   0      4,668 K
svchost.exe                   1324 Services                   0      5,040 K
svchost.exe                   1364 Services                   0      3,172 K
svchost.exe                   1416 Services                   0      3,936 K
svchost.exe                   1480 Services                   0     11,972 K
svchost.exe                   1516 Services                   0      4,820 K
svchost.exe                   1536 Services                   0      5,076 K
svchost.exe                   1712 Services                   0      3,700 K
svchost.exe                   1720 Services                   0      2,380 K
igfxCUIService.exe            1732 Services                   0      2,780 K
svchost.exe                   1744 Services                   0      3,336 K
svchost.exe                   1816 Services                   0      3,772 K
svchost.exe                   1956 Services                   0      8,312 K
svchost.exe                   1968 Services                   0      8,940 K
svchost.exe                    816 Services                   0      6,444 K
svchost.exe                   2100 Services                   0      5,396 K
svchost.exe                   2108 Services                   0      3,992 K
svchost.exe                   2160 Services                   0      5,664 K
svchost.exe                   2176 Services                   0      6,836 K
svchost.exe                   2240 Services                   0     15,412 K
svchost.exe                   2260 Services                   0      3,060 K
svchost.exe                   2296 Services                   0     11,376 K
TouchpointAnalyticsClient     2348 Services                   0     30,264 K
svchost.exe                   2420 Services                   0      3,500 K
SysInfoCap.exe                2556 Services                   0     11,028 K
svchost.exe                   2596 Services                   0     10,208 K
unsecapp.exe                  2804 Services                   0      3,368 K
WmiPrvSE.exe                  2924 Services                   0     10,184 K
NetworkCap.exe                3008 Services                   0      2,592 K
AppHelperCap.exe              3032 Services                   0      3,328 K
svchost.exe                   3052 Services                   0      4,664 K
SynTPEnhService.exe           3128 Services                   0      2,620 K
QMEmulatorService.exe         3180 Services                   0      2,616 K
svchost.exe                   3208 Services                   0     94,620 K
svchost.exe                   3216 Services                   0      1,652 K
Memory Compression            3260 Services                   0   5,30,660 K
svchost.exe                   3320 Services                   0      3,204 K
svchost.exe                   3432 Services                   0      7,992 K
svchost.exe                   3564 Services                   0      4,964 K
svchost.exe                   3620 Services                   0      6,996 K
svchost.exe                   3628 Services                   0      2,632 K
svchost.exe                   3716 Services                   0      5,068 K
svchost.exe                   3784 Services                   0     12,016 K
svchost.exe                   3836 Services                   0      8,172 K
spoolsv.exe                   4012 Services                   0      3,952 K
svchost.exe                   4048 Services                   0     13,616 K
armsvc.exe                    3892 Services                   0      1,096 K
AdobeUpdateService.exe        4100 Services                   0      3,140 K
IntelCpHDCPSvc.exe            4112 Services                   0      1,940 K
svchost.exe                   4120 Services                   0      2,164 K
svchost.exe                   4140 Services                   0     24,928 K
svchost.exe                   4168 Services                   0     41,608 K
esif_uf.exe                   4196 Services                   0      2,792 K
svchost.exe                   4224 Services                   0      2,704 K
svchost.exe                   4268 Services                   0      6,068 K
PsiService_2.exe              4344 Services                   0      1,116 K
RstMwService.exe              4352 Services                   0      2,924 K
RtkAudUService64.exe          4360 Services                   0      3,520 K
svchost.exe                   4368 Services                   0      1,468 K
RtkBtManServ.exe              4376 Services                   0      3,028 K
sqlwriter.exe                 4420 Services                   0      1,496 K
svchost.exe                   4428 Services                   0      2,980 K
WildTangentHelperService.     4444 Services                   0     10,088 K
dasHost.exe                   4516 Services                   0      2,004 K
SECOMN64.exe                  4524 Services                   0      2,356 K
svchost.exe                   4532 Services                   0     13,960 K
svchost.exe                   4540 Services                   0      1,868 K
IntelCpHeciSvc.exe            4628 Services                   0      1,976 K
svchost.exe                   4652 Services                   0      2,724 K
SynAudSrv.exe                 4684 Services                   0      2,184 K
svchost.exe                   4700 Services                   0      7,380 K
